Stations_ID;Von_Datum;Bis_Datum;Stationsname;Parameter;Parameterbeschreibung;Einheit;Datenquelle (Strukturversion=SV);Zusatz-Info;Besonderheiten;Literaturhinweis;eor;
2110;19630101;20021231;Heinsberg-Schleiden;JA_FK;Jahresmittel der Windstaerke;Bft;Klimadaten aus Klimaroutine des DWD (3 Termine: um  07, 14, 21 MOZ, ab 01.01.1987 07:30,14:30,21:30 MEZ) und Tageswerte jeweils nach Beobachteranleitung für Klimastationen (BAK));arithm.Mittel aus Monatsmittelwerten;;;eor;
2110;20040101;20111231;Heinsberg-Schleiden;JA_FK;Jahresmittel der Windstaerke;Bft;Klimadaten aus der Klimaroutine nach 1.4.2001, generiert aus SYNOP-Meldungen (3 Termine 06, 12, 18 UTC und Tageswerte aus stündlichen Werten oder Beobachtungen an Hauptterminen);arithm.Mittel aus Monatsmittelwerten;;;eor;
2110;18910101;19431231;Heinsberg-Schleiden;JA_MX_RS;Maximale Niederschlagshoehe des Jahres;mm;Monatswerte (Messnetz=6) ohne Tageswerte;Extrema des Jahres;;;eor;
2110;19510101;20021231;Heinsberg-Schleiden;JA_MX_RS;Maximale Niederschlagshoehe des Jahres;mm;Niederschlagsdaten aus Niederschlagsroutine des DWD oder Vorgängerdienste bis Einrichtung Nst(A) oder Nst(k) (1 Termin ca 7 MOZ und Tagessummen);Extrema des Jahres;;;eor;
2110;20040101;20201231;Heinsberg-Schleiden;JA_MX_RS;Maximale Niederschlagshoehe des Jahres;mm;Niederschlagsdaten aus Niederschlagsroutine nach 01.04.2001 Terminwert und Tagessummen generiert aus SYNOP-Meldung des 06 UTC Termins;Extrema des Jahres;;;eor;
2110;19630101;20021231;Heinsberg-Schleiden;JA_MX_TN;Absolutes Minimum der Lufttemperatur in 2m Hoehe (Jahr);°C;Klimadaten aus Klimaroutine des DWD (3 Termine: um  07, 14, 21 MOZ, ab 01.01.1987 07:30,14:30,21:30 MEZ) und Tageswerte jeweils nach Beobachteranleitung für Klimastationen (BAK));Extrema des Jahres;;;eor;
2110;20030101;20201231;Heinsberg-Schleiden;JA_MX_TN;Absolutes Minimum der Lufttemperatur in 2m Hoehe (Jahr);°C;Klimadaten aus der Klimaroutine nach 1.4.2001, generiert aus SYNOP-Meldungen (3 Termine 06, 12, 18 UTC und Tageswerte aus stündlichen Werten oder Beobachtungen an Hauptterminen);Extrema des Jahres;;;eor;
2110;19630101;20021231;Heinsberg-Schleiden;JA_MX_TX;Absolutes Maximum  der Lufttemperatur in 2m Hoehe (Jahr);°C;Klimadaten aus Klimaroutine des DWD (3 Termine: um  07, 14, 21 MOZ, ab 01.01.1987 07:30,14:30,21:30 MEZ) und Tageswerte jeweils nach Beobachteranleitung für Klimastationen (BAK));Extrema des Jahres;;;eor;
2110;20030101;20201231;Heinsberg-Schleiden;JA_MX_TX;Absolutes Maximum  der Lufttemperatur in 2m Hoehe (Jahr);°C;Klimadaten aus der Klimaroutine nach 1.4.2001, generiert aus SYNOP-Meldungen (3 Termine 06, 12, 18 UTC und Tageswerte aus stündlichen Werten oder Beobachtungen an Hauptterminen);Extrema des Jahres;;;eor;
2110;19630101;20021231;Heinsberg-Schleiden;JA_N;Jahresmittel des Bedeckungsgrades;Achtel;Klimadaten aus Klimaroutine des DWD (3 Termine: um  07, 14, 21 MOZ, ab 01.01.1987 07:30,14:30,21:30 MEZ) und Tageswerte jeweils nach Beobachteranleitung für Klimastationen (BAK));arithm.Mittel aus Monatsmittelwerten;;;eor;
2110;20030101;20111231;Heinsberg-Schleiden;JA_N;Jahresmittel des Bedeckungsgrades;Achtel;Klimadaten aus der Klimaroutine nach 1.4.2001, generiert aus SYNOP-Meldungen (3 Termine 06, 12, 18 UTC und Tageswerte aus stündlichen Werten oder Beobachtungen an Hauptterminen);arithm.Mittel aus Monatsmittelwerten;;;eor;
2110;18910101;19431231;Heinsberg-Schleiden;JA_RR;Jahressumme der Niederschlagshoehe;mm;Monatswerte (Messnetz=6) ohne Tageswerte;Summe aus Monatssummen;;;eor;
2110;19510101;20021231;Heinsberg-Schleiden;JA_RR;Jahressumme der Niederschlagshoehe;mm;Niederschlagsdaten aus Niederschlagsroutine des DWD oder Vorgängerdienste bis Einrichtung Nst(A) oder Nst(k) (1 Termin ca 7 MOZ und Tagessummen);Summe aus Monatssummen;;;eor;
2110;20040101;20201231;Heinsberg-Schleiden;JA_RR;Jahressumme der Niederschlagshoehe;mm;Niederschlagsdaten aus Niederschlagsroutine nach 01.04.2001 Terminwert und Tagessummen generiert aus SYNOP-Meldung des 06 UTC Termins;Summe aus Monatssummen;;;eor;
2110;19630101;20021231;Heinsberg-Schleiden;JA_TN;Jahresmittel des Lufttemperatur Minimums;°C;Klimadaten aus Klimaroutine des DWD (3 Termine: um  07, 14, 21 MOZ, ab 01.01.1987 07:30,14:30,21:30 MEZ) und Tageswerte jeweils nach Beobachteranleitung für Klimastationen (BAK));arithm.Mittel aus Monats-Extremen;;;eor;
2110;20030101;20201231;Heinsberg-Schleiden;JA_TN;Jahresmittel des Lufttemperatur Minimums;°C;Klimadaten aus der Klimaroutine nach 1.4.2001, generiert aus SYNOP-Meldungen (3 Termine 06, 12, 18 UTC und Tageswerte aus stündlichen Werten oder Beobachtungen an Hauptterminen);arithm.Mittel aus Monats-Extremen;;;eor;
2110;19380101;19381231;Heinsberg-Schleiden;JA_TT;Jahresmittel der Lufttemperatur;°C;Monatswerte (Messnetz=4) ohne Tageswerte.;arithm.Mittel aus Monatsmittelwerten;;;eor;
2110;19630101;20021231;Heinsberg-Schleiden;JA_TT;Jahresmittel der Lufttemperatur;°C;Klimadaten aus Klimaroutine des DWD (3 Termine: um  07, 14, 21 MOZ, ab 01.01.1987 07:30,14:30,21:30 MEZ) und Tageswerte jeweils nach Beobachteranleitung für Klimastationen (BAK));arithm.Mittel aus Monatsmittelwerten;;;eor;
2110;20030101;20201231;Heinsberg-Schleiden;JA_TT;Jahresmittel der Lufttemperatur;°C;Klimadaten aus der Klimaroutine nach 1.4.2001, generiert aus SYNOP-Meldungen (3 Termine 06, 12, 18 UTC und Tageswerte aus stündlichen Werten oder Beobachtungen an Hauptterminen);arithm.Mittel aus Monatsmittelwerten;;;eor;
2110;19630101;20021231;Heinsberg-Schleiden;JA_TX;Jahresmittel der Lufttemperatur Maximum;°C;Klimadaten aus Klimaroutine des DWD (3 Termine: um  07, 14, 21 MOZ, ab 01.01.1987 07:30,14:30,21:30 MEZ) und Tageswerte jeweils nach Beobachteranleitung für Klimastationen (BAK));arithm.Mittel aus Monats-Extremen;;;eor;
2110;20030101;20201231;Heinsberg-Schleiden;JA_TX;Jahresmittel der Lufttemperatur Maximum;°C;Klimadaten aus der Klimaroutine nach 1.4.2001, generiert aus SYNOP-Meldungen (3 Termine 06, 12, 18 UTC und Tageswerte aus stündlichen Werten oder Beobachtungen an Hauptterminen);arithm.Mittel aus Monats-Extremen;;;eor;
